register_id,direction,transport_mode,total_value
1,Exports,Sea,33000000
2,Exports,Sea,16000000
3,Exports,Sea,29000000
4,Exports,Sea,14000000
5,Exports,Sea,17000000
6,Exports,Sea,20000000
7,Exports,Sea,27000000
8,Exports,Sea,33000000
9,Exports,Air,15000000
10,Exports,Air,31000000
11,Exports,Air,12000000
12,Exports,Air,10000000
13,Exports,Air,28000000
14,Exports,Air,32000000
15,Exports,Air,23000000
16,Exports,Air,33000000
17,Exports,Air,42000000
18,Exports,Air,32000000
19,Exports,Air,15000000
20,Exports,Air,45000000
21,Exports,Air,29000000
22,Exports,Air,32000000
23,Exports,Air,25000000
24,Exports,Sea,41000000
25,Exports,Sea,25000000
26,Exports,Sea,15000000
27,Exports,Sea,33000000
28,Exports,Sea,42000000
29,Exports,Sea,23000000
30,Exports,Sea,41000000
31,Exports,Sea,30000000
32,Exports,Sea,21000000
33,Exports,Sea,15000000
34,Exports,Sea,28000000
35,Exports,Sea,37000000
36,Exports,Sea,21000000
37,Exports,Sea,16000000
38,Exports,Sea,32000000
39,Exports,Sea,19000000
40,Exports,Sea,13000000
41,Exports,Sea,37000000
42,Exports,Sea,32000000
43,Exports,Sea,10000000
44,Exports,Sea,21000000
45,Exports,Sea,39000000
46,Exports,Sea,17000000
47,Exports,Sea,12000000
48,Exports,Sea,20000000
49,Exports,Sea,33000000
50,Exports,Sea,37000000
51,Exports,Sea,31000000
52,Exports,Sea,44000000
53,Exports,Sea,13000000
54,Exports,Sea,9000000
55,Exports,Sea,33000000
56,Exports,Sea,25000000
57,Exports,Sea,21000000
58,Exports,Sea,23000000
59,Exports,Sea,29000000
60,Exports,Sea,19000000
61,Exports,Sea,19000000
62,Exports,Sea,20000000
63,Exports,Sea,38000000
64,Exports,Sea,23000000
65,Exports,Sea,24000000
66,Exports,Sea,27000000
67,Exports,Sea,15000000
68,Exports,Sea,15000000
69,Exports,Sea,22000000
70,Exports,Sea,27000000
71,Exports,Sea,22000000
72,Exports,Sea,19000000
73,Exports,Sea,47000000
74,Exports,Sea,19000000
75,Exports,Sea,11000000
76,Exports,Sea,34000000
77,Exports,Sea,31000000
78,Exports,Sea,14000000
79,Exports,Sea,41000000
80,Exports,Sea,24000000
81,Exports,Sea,10000000
