register_id,direction,transport_mode,total_value
15409,Imports,Rail,3000000
15410,Imports,Rail,13000000
15411,Imports,Rail,40000000
15412,Imports,Rail,48000000
15413,Imports,Rail,44000000
15414,Imports,Rail,42000000
15415,Imports,Rail,5000000
15416,Imports,Rail,6000000
15417,Imports,Rail,4000000
15418,Imports,Rail,34000000
15419,Imports,Rail,34000000
15420,Imports,Sea,39000000
15421,Imports,Sea,57000000
15422,Imports,Sea,44000000
15423,Imports,Sea,2000000
15424,Imports,Sea,5000000
15425,Imports,Sea,41000000
15426,Imports,Sea,37000000
15427,Imports,Sea,36000000
15428,Imports,Sea,41000000
15429,Imports,Sea,32000000
15430,Imports,Sea,4000000
15431,Imports,Sea,4000000
15432,Imports,Sea,33000000
15433,Imports,Sea,42000000
15434,Imports,Sea,38000000
15435,Imports,Sea,38000000
15436,Imports,Sea,34000000
15437,Imports,Rail,2000000
15438,Imports,Rail,9000000
15439,Imports,Rail,46000000
15440,Imports,Rail,44000000
15441,Imports,Rail,43000000
15442,Imports,Rail,44000000
15443,Imports,Rail,41000000
15444,Imports,Rail,3000000
15445,Imports,Rail,6000000
15446,Imports,Rail,35000000
15447,Imports,Rail,30000000
15448,Imports,Rail,32000000
15449,Imports,Rail,27000000
15450,Imports,Rail,36000000
15451,Imports,Rail,2000000
15452,Imports,Rail,4000000
15453,Imports,Rail,25000000
15454,Imports,Rail,19000000
15455,Imports,Rail,18000000
15456,Imports,Rail,22000000
15457,Imports,Rail,18000000
15458,Imports,Rail,3000000
15459,Imports,Rail,5000000
15460,Imports,Rail,23000000
15461,Imports,Rail,24000000
15462,Imports,Rail,25000000
15463,Imports,Rail,20000000
15464,Imports,Rail,17000000
15465,Imports,Rail,1000000
15466,Imports,Rail,8000000
15467,Imports,Rail,25000000
15468,Imports,Rail,29000000
15469,Imports,Rail,39000000
15470,Imports,Rail,33000000
15471,Imports,Rail,4000000
15472,Imports,Rail,4000000
15473,Imports,Rail,3000000
15474,Imports,Rail,6000000
15475,Imports,Rail,31000000
15476,Imports,Rail,29000000
15477,Imports,Rail,36000000
15478,Imports,Rail,60000000
15479,Imports,Rail,3000000
15480,Imports,Rail,5000000
15481,Imports,Rail,31000000
15482,Imports,Rail,34000000
15483,Imports,Rail,36000000
15484,Imports,Rail,29000000
15485,Imports,Rail,29000000
15486,Imports,Rail,2000000
